method,data_name,best_p1,best_p2,score,density_corr,svc,n_configs
densmap,emnist,2,0,0.697,0.65,0.643,25
densmap,gast10k,2,1,0.776,0.744,0.614,25
densmap,hcl,0,1,0.758,0.711,0.26,25
densmap,mca,0,1,0.769,0.742,0.367,25
densmap,ng20,2,2,0.852,0.83,0.247,25
densne,gast10k,2,4,0.663,0.494,0.817,25
densne,hcl,4,0,0.985,0.519,0.807,25
densne,mca,4,4,0.996,0.319,0.843,25
densne,ng20,0,4,0.654,0.602,0.323,25
pacmap,emnist,0,4,0.84,0.086,0.661,25
pacmap,gast10k,0,4,0.865,-0.348,0.837,25
pacmap,hcl,0,4,0.916,0.09,0.738,25
pacmap,mca,4,1,0.902,0.14,0.776,25
pacmap,ng20,0,1,0.924,0.412,0.348,25
phate,emnist,0,2,0.679,-0.016,0.574,22
phate,gast10k,0,0,0.813,0.198,0.742,25
phate,hcl,1,3,0.675,0.29,0.565,25
phate,mca,3,3,0.91,0.023,0.734,25
phate,ng20,3,4,0.706,0.608,0.263,25
tsne,emnist,4,1,0.849,0.26,0.65,25
tsne,gast10k,4,3,0.824,0.049,0.672,25
tsne,hcl,0,2,0.684,0.096,0.676,25
tsne,mca,3,2,0.854,0.446,0.455,25
tsne,ng20,0,0,0.893,0.417,0.322,25
umap,emnist,0,4,0.931,0.115,0.654,25
umap,gast10k,1,3,0.81,-0.182,0.636,25
umap,hcl,0,4,0.977,0.048,0.325,25
umap,mca,3,4,0.698,0.256,0.322,25
umap,ng20,2,4,0.983,0.421,0.279,25
